cwe_id,name,score,search_source
1336,Improper Neutralization of Special Elements Used in a Template Engine,7927.386494631201,base_query
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),7875.003252479644,base_query
138,Improper Neutralization of Special Elements,7583.416652618819,base_query
116,Improper Encoding or Escaping of Output,7537.655439487322,base_query
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),7524.05846183938,base_query
