cwe_id,name,score,search_source
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),8668.02871135129,unknown
116,Improper Encoding or Escaping of Output,8357.882477508763,unknown
1336,Improper Neutralization of Special Elements Used in a Template Engine,8217.774312974234,unknown
138,Improper Neutralization of Special Elements,7980.993226710619,unknown
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),7936.687781383957,unknown
