cwe_id,name,score,search_source
190,Integer Overflow or Wraparound,6512.631570469231,base_query
191,Integer Underflow (Wrap or Wraparound),6105.756804071953,base_query
125,Out-of-bounds Read,5961.029606674679,base_query
839,Numeric Range Comparison Without Minimum Check,5877.224669344056,base_query
1284,Improper Validation of Specified Quantity in Input,5839.536803434183,base_query
