CVE,In JSON,In Benchmark,JSON CWEs,Benchmark CWEs,Matched CWEs,Only in JSON,Only in Benchmark,Has Match,Exact Match,Precision,Recall,F1 Score
CVE-2021-0013,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0051,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0056,True,True,CWE-277,CWE-277,CWE-277,,,True,True,1.0,1.0,1.0
CVE-2021-0062,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0063,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0066,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0069,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0070,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0071,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0072,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0073,True,True,CWE-691,CWE-691,CWE-691,,,True,True,1.0,1.0,1.0
CVE-2021-0076,True,True,CWE-1285,CWE-1285,CWE-1285,,,True,True,1.0,1.0,1.0
CVE-2021-0078,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0079,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0083,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0084,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0109,True,True,CWE-277,CWE-277,CWE-277,,,True,True,1.0,1.0,1.0
CVE-2021-0126,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0127,True,True,CWE-691,CWE-691,CWE-691,,,True,True,1.0,1.0,1.0
CVE-2021-0133,True,True,CWE-322,CWE-322,CWE-322,,,True,True,1.0,1.0,1.0
CVE-2021-0134,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0135,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0147,True,True,CWE-667,CWE-667,CWE-667,,,True,True,1.0,1.0,1.0
CVE-2021-0154,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0156,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0158,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0159,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0161,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0162,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0163,True,True,CWE-1288,CWE-1288,CWE-1288,,,True,True,1.0,1.0,1.0
CVE-2021-0165,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0168,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0172,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0173,True,True,CWE-1288,CWE-1288,CWE-1288,,,True,True,1.0,1.0,1.0
CVE-2021-0174,True,True,CWE-1173,CWE-1173,CWE-1173,,,True,True,1.0,1.0,1.0
CVE-2021-0175,True,True,CWE-1285,CWE-1285,CWE-1285,,,True,True,1.0,1.0,1.0
CVE-2021-0176,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0177,True,True,CWE-1288,CWE-1288,CWE-1288,,,True,True,1.0,1.0,1.0
CVE-2021-0178,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0179,True,True,CWE-1173,CWE-1173,CWE-1173,,,True,True,1.0,1.0,1.0
CVE-2021-0183,True,True,CWE-1285,CWE-1285,CWE-1285,,,True,True,1.0,1.0,1.0
CVE-2021-0185,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0186,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0187,True,True,CWE-284,CWE-284,CWE-284,,,True,True,1.0,1.0,1.0
CVE-2021-0199,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0208,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0214,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0267,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0278,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0313,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0336,True,True,CWE-732,CWE-732,CWE-732,,,True,True,1.0,1.0,1.0
CVE-2021-0350,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0369,True,True,CWE-451,CWE-451,CWE-451,,,True,True,1.0,1.0,1.0
CVE-2021-0386,True,True,CWE-1021,CWE-1021,CWE-1021,,,True,True,1.0,1.0,1.0
CVE-2021-0391,True,True,CWE-1021,CWE-1021,CWE-1021,,,True,True,1.0,1.0,1.0
CVE-2021-0416,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0417,True,True,CWE-330;CWE-20,CWE-20;CWE-330,,CWE-330;CWE-20,CWE-20;CWE-330,False,False,0.0,0.0,0
CVE-2021-0418,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0419,True,True,CWE-20,CWE-20,CWE-20,,,True,True,1.0,1.0,1.0
CVE-2021-0478,True,True,CWE-248,CWE-248,CWE-248,,,True,True,1.0,1.0,1.0
CVE-2021-0511,True,True,CWE-687;CWE-20,CWE-687;CWE-20,,CWE-687;CWE-20,CWE-687;CWE-20,False,False,0.0,0.0,0
CVE-2021-0600,True,True,CWE-1287;CWE-79,CWE-79;CWE-1287,,CWE-1287;CWE-79,CWE-79;CWE-1287,False,False,0.0,0.0,0
CVE-2021-0674,True,True,CWE-125;CWE-20,CWE-125;CWE-20,,CWE-125;CWE-20,CWE-125;CWE-20,False,False,0.0,0.0,0
CVE-2021-0676,True,True,CWE-125;CWE-20,CWE-125;CWE-20,,CWE-125;CWE-20,CWE-125;CWE-20,False,False,0.0,0.0,0
CVE-2021-0677,True,True,CWE-190;CWE-125,CWE-125;CWE-190,,CWE-190;CWE-125,CWE-125;CWE-190,False,False,0.0,0.0,0
